id,make,model,edition,year,miles,price
12049293,Ford,Focus,SE,2016,16827,15000
12049294,GMC,Terrain,SLE-1,2012,23899,15000
12049295,Ford,Escape,SE,2013,48527,15000
12049296,Chevrolet,Silverado,Extended Cab,2000,278806,11500
12049297,Ford,Mustang,GT,1995,73500,9997
12049298,Volvo,S40,2.4i,2007,127733,6000
12049299,Nissan,Maxima,GLE,2003,144000,2450
12049300,Ford,Focus,ST,2014,50776,14991
12049301,Buick,Encore,,2014,77389,14542
12049302,Buick,Regal,,2013,19569,14495
12049303,Ford,Edge,SE,2013,54100,14491
12049304,Toyota,Highlander,,2011,104133,14393
12049305,Toyota,Corolla,LE,2014,25924,13991
